,Address,City,Status,State,Zip Code,lat,lng
231,1601 Washington St,Davenport,A,IA,52804,41.5359563,-90.5960526
232,5405 Mills Civic Pkwy,West Des Moines,A,IA,50266,41.5618661,-93.7792272
233,300 4th St,La Porte City,A,IA,50651,42.3166008,-92.1900571
234,300 North Park Dr,Keokuk,A,IA,52632,40.4182323,-91.4102571
235,104 North Fillmore,Mount Ayr,A,IA,50854,40.715404,-94.2384221
236,703 W Pleasant St,Knoxville,A,IA,50138,41.3209615,-93.1057191
237,915 Short St,Decorah,A,IA,52101,43.2897541,-91.7965679
238,507 W 19th St,Sioux City,A,IA,51103,42.5109245,-96.4201531
239,1205 Curtis Br Rd NE,Shueyville,A,IA,52338,41.847483,-91.64652699999999
240,1372 E 14th St,Des Moines,A,IA,50316,41.6048475,-93.6010064
241,777 Casino Dr,Osceola,A,IA,50213,41.0392267,-93.797117
242,715 1st Ave S,Mount Vernon,A,IA,52314,41.9171387,-91.4231614
243,806 Laurel St,Creston,A,IA,50801,41.0452917,-94.3727334
244,301 Annex Rd,Madrid,A,IA,50156,41.8788248,-93.81501019999999
245,1905 East 7th St,Atlantic,A,IA,50022,41.4029112,-94.9850999
246,3221 SE 14th St,Des Moines,A,IA,50315,41.55467489999999,-93.59471649999999
247,157 Locust St,Dubuque,A,IA,52001,42.4951145,-90.66570569999999
248,107 N Portland St Po Bx 222,Bancroft,A,IA,50517,43.2935036,-94.2181467
249,210 North Hwy,Otho,A,IA,50569,42.4223408,-94.15087659999999
250,711 16th Ave SE,Dyersville,A,IA,52040,42.4694164,-91.1166411
251,1201 1/2 Lakeshore Dr,Storm Lake,A,IA,50588,42.6360748,-95.1909213
252,9th St SW B,Waukon,A,IA,52172,43.2520692,-91.4879519
253,6723 NW Blvd Unit 2,Davenport,A,IA,52806,41.5895147,-90.6089449
254,302 Enterprise Dr SW,Independence,A,IA,50644,42.4518122,-91.8932875
255,320 S Duff,Ames,A,IA,50010,42.0194412,-93.6068394
256,5491 Business Hwy 151,Marion,A,IA,52302,42.033378,-91.553252
257,412 1st Ave,Coralville,A,IA,52241,41.672714,-91.56624599999999
258,3414 8th St SW,Altoona,A,IA,50009,41.641266,-93.5042937
259,1800 35th St,West Des Moines,A,IA,50266,41.5995032,-93.75323279999999
260,3500 Dodge St,Dubuque,A,IA,52003,42.4907476,-90.72213219999999
261,1441 Coral Ridge Ave,Coralville,A,IA,52241,41.6915062,-91.5993986
262,5901 Douglas Ave,Des Moines,A,IA,50322,41.6300552,-93.70046330000001
263,5775 Sunnybrook Dr,Sioux City,A,IA,51106,42.4481792,-96.3335743
